"产品体系","系列","产品名","推荐人群","规格","配方"
"药食养方","九种体质茶系列","苹果黄芪茶","平和质 / 日常基础调养","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","黄芪1.5g、苹果干4g、玉竹0.5g、红枣2g、枸杞0.5g、荷叶1g、罗汉果2g、山楂3g、菊花0.5g"
"药食养方","九种体质茶系列","甘草干姜茶","阳虚质 / 偏好温热饮用人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","生姜2g、炙甘草2g、大枣3g、砂仁0.5g、红茶1g、白扁豆3g、橘皮1.5g、炒薏米1g、万寿菊1g"
"药食养方","九种体质茶系列","百合玉竹茶","阴虚质 / 清润轻养人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","百合1g、玉竹1g、菊花0.5g、葛根2.3g、罗汉果3g、栀子1g、百香果3g、生地黄3g、金银花0.2g"
"药食养方","九种体质茶系列","参芪大枣茶","气虚质 / 元气轻养人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","人参0.5g、黄芪2g、大枣2.2g、炙甘草2g、山药1g、无花果3g、炒麦芽2g、黄精2g、茉莉花0.3g"
"药食养方","九种体质茶系列","茯苓陈皮茶","痰湿质 / 轻盈饮食管理人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","茯苓3g、橘皮2.5g、荷叶0.5g、罗汉果3g、香橼1g、薄荷0.5g、炒薏米2g、山楂2g、洛神花0.5g"
"药食养方","九种体质茶系列","薏仁荷叶茶","湿热质 / 夏季清爽饮用人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","炒薏仁4g、荷叶1g、山楂2g、枸杞0.5g、金桔2g、罗汉果2g、炙甘草1.5g、生地黄1.5g、菊花0.5g"
"药食养方","九种体质茶系列","当归玫瑰茶","血瘀质 / 女性日常关爱人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","当归0.5g、玫瑰花0.5g、沙棘2g、大枣2g、黄芪2g、熟地黄3g、桃仁2g、山楂2g、桑葚1g"
"药食养方","九种体质茶系列","玫瑰佛手茶","气郁质 / 舒缓轻养人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","玫瑰花0.5g、佛手2g、炒麦芽3g、薄荷1g、无花果2g、乌梅2g、罗汉果2g、香橼1g、决明子1.5g"
"药食养方","九种体质茶系列","黄芪紫苏茶","特禀质 / 换季养护人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","黄芪1.5g、炙甘草3g、紫苏叶0.5g、金银花0.2g、山药1g、白扁豆2g、熟地黄2.8g、大枣2g、山楂2g"
"药食养方","功能小罐茶系列","红颜茶","女性关爱人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","阿胶、红参、桑葚、玫瑰等"
"药食养方","功能小罐茶系列","轻湿茶","轻负担生活方式人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","赤小豆、芡实、炒薏米等"
"药食养方","功能小罐茶系列","元气茶","加班/出差/高强度工作人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","人参、黑枸杞、桑葚等"
"药食养方","功能小罐茶系列","熬夜茶","熬夜/久坐办公人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","黑枸杞、决明子、乌梅等"
"药食养方","功能小罐茶系列","醒醒茶","聚餐应酬/餐后清爽人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","山楂、陈皮、葛根花、枳椇子"
"药食养方","国民经典饮品系列","酸梅汤","大众化夏季饮品人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","乌梅5g、山楂3g、炙甘草1g、橘皮1g、罗汉果2.5g、洛神花1.5g、荷叶0.3g、金银花0.2g、薄荷0.5g"
"药食养方","国民经典饮品系列","五红汤","女性关爱/家庭饮用人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","红枣、红豆、红皮花生、枸杞、红糖等"
"药食养方","国民经典饮品系列","秋梨汤","秋冬清润/家庭常备人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","秋梨、百合、银耳等"
"药食养方","国民经典饮品系列","姜枣茶","秋冬暖养/家庭常备人群","代茶饮，充氮锁鲜小罐装，15g/罐×8罐","生姜、红枣、红糖等"
"药食养方","养生隐茶杯系列","清和茶","上班族/清爽茶饮人群","一次性杯装，4.5g/杯×10杯","菊花、金银花、栀子、枸杞子、橘皮"
"药食养方","养生隐茶杯系列","葛花解酲汤","聚餐应酬/餐后清爽人群","一次性杯装，4.5g/杯×10杯","山楂、陈皮、葛根花、枳椇子"
"药食养方","养生隐茶杯系列","养元茶","日常滋养/中青年轻养人群","一次性杯装，4.5g/杯×10杯","黄精、山茱萸、枸杞、桑葚"
"药食养方","滋补系列","九制黄精（即食）","滋补伴手礼/日常轻养人群","150g×2袋","九华山有机黄精"
"药食养方","滋补系列","茯苓糕","健康零食/茶点人群","150g×2袋","粳米、茯苓粉等"
"药食养方","滋补系列","五黑丸","营养轻食/办公室零食人群","150g×2袋","黑芝麻、黑豆、黑米、黑枸杞等"
"药食养方","轻养膳食系列","五行馒头","家庭早餐/轻养主食人群","冷冻/预包装，五种口味","面粉、中药粉、酵母等"
"药食养方","轻养膳食系列","铁皮石斛八珍粉","早餐/代餐辅助/办公室人群","15g×12袋","铁棍山药、薏仁、茯苓、莲子、燕麦、芡实、猴头菇、白扁豆、陈皮、红枣、铁皮石斛"
"生活养方","草本生活用品系列","鼻安梦香枕","睡前放松/卧室香养人群","枕套+内胆","枕套：绸缎；填充物：非遗合香珠（艾草、薰衣草、茉莉花、苍耳子、辛夷、白芷等）"
"生活养方","草本生活用品系列","草本植萃药香梳","日常梳理/东方香养人群","盒装","何首乌、侧柏叶、苦参、丹参等"
"生活养方","草本生活用品系列","七子白洁面皂","日常清洁/草本洗护人群","单块装/套装（待定）","白僵蚕、白芨、白茯苓、白芍、白蔹、白芷、白术"
"生活养方","草本生活用品系列","草本合香珠","香枕填充/衣柜香氛/礼赠人群","盒装","20味中草药搭配组合"
"御养系列","参石御养茶礼盒系列","参石御养茶·礼盒装","高端滋补茶礼/节日礼赠人群","12罐茶礼盒装","人参、石斛"
"御养系列","参石御养茶礼盒系列","参石御养茶·商务礼","商务拜访/高端客户关怀人群","12罐茶+便携养生杯礼盒装","人参、石斛"
"线下合作","线下体验与活动合作","线下体验店合作","院内专柜/商超/社区/合作门店","/","/"
"线下合作","线下体验与活动合作","企业健康活动支持","企业客户/员工健康关怀","/","/"
"线下合作","线下体验与活动合作","中医养生市集活动合作","节令活动/健康市集/品牌快闪","/","/"
"企业定制产品","主题定制礼盒系列","企业养生礼定制","企业福利/节日关怀/客户维护","礼盒装（内容可定制）","按企业福利主题搭配药食养方、生活养方及御养礼品"
"企业定制产品","主题定制礼盒系列","健康关爱礼定制","女性关爱/睡眠舒缓/节令养生等主题","礼盒装（内容可定制）","按主题需求搭配代茶饮、草本生活用品及御养礼品"
